"0","TEXT_CTSMJISPECIALSHOP_00789_TALK_ACTOR","0"
"1","TEXT_CTSMJISPECIALSHOP_00789_SYSTEM_000_000","どうする？"
"2","TEXT_CTSMJISPECIALSHOP_00789_Q1_000_000","報酬を購入する（シェルダレースクリップ:青船貨）"
"3","TEXT_CTSMJISPECIALSHOP_00789_Q1_000_005","報酬を購入する（シェルダレースクリップ:緑島貨）"
"4","TEXT_CTSMJISPECIALSHOP_00789_Q1_000_010","「建築許可書」を交換する"
"5","TEXT_CTSMJISPECIALSHOP_00789_Q1_000_015","説明を聞く"
"6","TEXT_CTSMJISPECIALSHOP_00789_Q1_000_020","キャンセル"
"7","TEXT_CTSMJISPECIALSHOP_00789_OMISE_100_000","ここではシェルダレースクリップを、<hex:02100103>様々なものと交換できるんだ。<hex:02100103>是非、たくさん利用してほしいな！"
"8","TEXT_CTSMJISPECIALSHOP_00789_SYSTEM_100_000","「おみせやさん」では、<hex:02100103>2種のシェルダレースクリップを支払うことで、<hex:02100103>様々なアイテムを購入できます。"
"9","TEXT_CTSMJISPECIALSHOP_00789_OMISE_200_000","やぁ、こんにちは。<hex:02100103>こちらは島主様専用の施設となっているよ。<hex:02100103>お客様にはご案内できないんだ。"
