"200","召喚出寵物「吉胖喵」。<hex:02100103>地縛靈的貓妖怪，目標是向汽車復仇！","一隻不幸被汽車撞死的貓變成的地縛靈。雖然一直在向汽車復仇但總是以失敗告終。","　喵　","百裂喵爪","對範圍內的敵人造成230攻擊力的傷害。","50","30","4","False","False","False","True","False","1"
"201","召喚出寵物「小狛」。<hex:02100103>從鄉下來到大城市的石獅子妖怪。","厭倦了守護神社的工作而離家出走的石獅子妖怪。總是驚嘆於大城市的厲害之處而發出感慨。","萌給","鬼火亂舞","設定陷阱。10秒後可透過點選發動陷阱按鈕起爆。對範圍內的敵人造成260攻擊力的傷害。","40","40","2","False","True","True","True","False","2"
"202","召喚出寵物「威斯帕」。<hex:02100103>自稱妖怪管家的妖怪，其實是硬充內行。","自稱是妖怪管家的妖怪。雖然可以流利地說出大部分妖怪的情報，但其實是一邊看著妖怪平板一邊裝作很懂行的樣子說的。","威斯","喋喋不休","令範圍內敵人的防禦力降低50%。<hex:02100103><hex:024804F201F803><hex:024904F201F903>持續時間：<hex:0249020103><hex:0248020103>15秒","40","30","2","True","False","True","False","False","4"
"203","召喚出寵物「吹雪姬」。<hex:02100103>可以凍結一切的可愛妖怪，能夠自由操縱寒氣。","能夠自由操縱寒氣的可愛妖怪。據說可以讓盛夏降雪，甚至是把火山變成雪山。","夏天真是讓人疲倦啊……","閃耀雪妝","令範圍內我方寵物的攻擊力增加20。當該寵物為「魔物」類型時，攻擊力增加40。<hex:02100103><hex:024804F201F803><hex:024904F201F903>持續時間：<hex:0249020103><hex:0248020103>6秒","45","30","3","False","False","True","False","False","3"
"204","召喚出寵物「九尾」。<hex:02100103>有九條尾巴的狐狸妖怪，在妖怪之中也算是最高等級的。","擁有九條尾巴的高階別的狐狸妖怪。可以十分輕鬆地放出如同火山爆發般強大的火炎。","太扯了吧～","紅蓮地獄","對範圍內的敵人造成90攻擊力的傷害。","40","30","2","True","False","False","False","False","1"
"205","召喚出寵物「狛次郎」。<hex:02100103>小狛的雙胞胎弟弟，適應能力比哥哥要強。","小狛的雙胞胎弟弟。和不習慣都市生活的哥哥不同，很快就適應了所處的環境。對自己的哥哥小狛十分尊敬。","茲拉","風來閃電","對範圍內的敵人每秒造成10點持續傷害。<hex:02100103><hex:024804F201F803><hex:024904F201F903>持續時間：<hex:0249020103><hex:0248020103>20秒","40","30","2","False","True","False","True","False","1"
"206","召喚出寵物「人面犬」。<hex:02100103>當下時興的狗狗品種，長著大叔臉，夢想是變得人見人愛。","當下時興的狗狗品種，長著大叔臉。從背後看十分惹人喜愛，但看到正臉後會被嚇蒙。夢想是變得人見人愛。","真可惡～！","大叔全力啃咬","對範圍內的敵人造成90攻擊力的傷害。","30","30","3","False","True","False","False","False","1"
"207","召喚出寵物「野槌蛇」。<hex:02100103>可以帶來好運的蛇妖怪。","可以帶來好運的蛇妖怪，非常吉利。因為不擅長隱藏自己，所以總是被人發現，並因此而苦惱。","咻乒","野槌蛇的笑臉","令範圍內我方寵物恢復100點體力。當該寵物為「魔物」類型時，恢復150點體力。","30","30","2","False","False","True","False","False","7"
"208","召喚出寵物「大蛇」。<hex:02100103>在妖怪世界中屬於菁英等級的妖怪，實力是一等一的強。","用自身的靈氣產生龍形的圍巾，並以此來戰鬥。在妖怪世界中屬於菁英等級的妖怪，擁有頂級的實力。","呼！！！","八歧大蛇","對範圍內的敵人造成100攻擊力的傷害。","50","40","2","True","False","False","False","False","1"
"209","召喚出寵物「武士貓」。<hex:02100103>吉胖喵的祖先，斬斷一切！","吉胖喵的祖先。會使用傳說中的寶刀高呼類似「妖怪解說、一分為二！」這種話將東西斬斷。","武、武士的憐憫之心啊喵……","鰹魚武士斬","對範圍內的敵人造成150攻擊力的傷害，並且令敵人的防禦力降低30%。<hex:02100103><hex:024804F201F803><hex:024904F201F903>持續時間：<hex:0249020103><hex:0248020103>6秒","30","30","2","False","False","False","True","False","1"
"210","召喚出寵物「浮游貓」。<hex:02100103>浮游靈的貓妖怪，額頭上的傷痕是榮耀的勳章。","浮游靈的貓妖怪。雖然漂浮在半空中，但性格卻是腳踏實地，非常值得信賴。額頭上的傷痕是榮耀的勳章。","出發吧～","超毅力喵爪直拳","對範圍內的敵人造成230攻擊力的傷害。","50","25","2","False","True","False","False","False","1"
"211","召喚出寵物「機器貓F型」。<hex:02100103>作為升級版開發出來的最新型機器貓。","作為升級版開發出來的最新型機器貓。去掉了所有沒用的功能，實現了美妙的形態。","省電模式","喵喵自爆","對範圍內的敵人造成300攻擊力的傷害。不過使用特殊技點數之後寵物會被強制回收。","35","30","3","False","False","True","False","False","1"
"212","召喚出寵物「USA蹦」。<hex:02100103>從外國來的妖怪。","外國妖怪，來自大洋彼岸的國家，夢想是到太空旅行。如果憤怒到極點的話，會變身黑化模式。","達尼","巨型USA光波","對範圍內的敵人造成230攻擊力的傷害。","30","30","2","False","False","True","True","False","1"
"213","","","","","","0","0","0","False","False","False","False","False","0"
"214","召喚出寵物「迷你命名威」。<hex:02100103>模仿傳說中的浪人製作的魔法人偶。擅長給別人起外號。","模仿傳說中的浪人製作的魔法人偶。聽說是住在月亮上的古怪民族的倖存者，似乎在旅行中一遇到人就給對方起外號。手裡的冊子記錄著取過外號的人的名字。","寄、寄信人是……誰？<hex:02100103>最主要是……為什麼會<hex:02100103>知道我的外號？！<hex:02100103>　　　　　——德雷斯特","哼鳴威","打消範圍內我方身上的弱化效果。","50","50","3","False","False","True","True","False","6"
"215","召喚出寵物「迷你亞歷山大」。<hex:02100103>青藍之手研發的縮小型實驗機。原來腳在那裡啊！","青藍之手為了學習機神城的構造研發的教學用縮小型實驗機。因為所有看到機器的人都會驚訝地喊出「原來腳在那裡啊！」，所以可以說它非常有教學價值。然而動起來的樣子還是讓人覺得有點恐怖。","現在……亞歷山大已經<hex:02100103>……在我等的完全控制<hex:02100103>之下了！<hex:02100103>　　　　——奎克辛克斯","神聖辯護","令範圍內我方寵物的防禦力增加10。當該寵物為「魔物」類型時，防禦力增加30。<hex:02100103><hex:024804F201F803><hex:024904F201F903>持續時間：<hex:0249020103><hex:0248020103>6秒","30","60","2","True","False","False","False","False","3"
"216","召喚出寵物「疣豬小子」。<hex:02100103>狂野疣豬的幼崽。突進力不輸大豬！","狂野疣豬的幼崽。原本居住在塞爾法特爾溪谷地區，為了修行，它下定決心跟在冒險者身後開始旅行。將來似乎想成為出色的「豬武者」，一直在練習「橫衝直撞」。突進力已然不輸大豬。","想要呼喚出「森林的主<hex:02100103>宰」，就要先在荊棘森<hex:02100103>打倒狂暴疣豬。<hex:02100103>　　　　　　——伊維因","橫衝直撞","令範圍內我方寵物的攻擊力增加20。當該寵物為「動物」類型時，攻擊力增加30。<hex:02100103><hex:024804F201F803><hex:024904F201F903>持續時間：<hex:0249020103><hex:0248020103>9秒","95","55","3","False","False","True","True","False","3"
"217","召喚出寵物「新型迷你桑克瑞德」。<hex:02100103>變得更加狂野炫酷了！","模仿桑克瑞德製作的魔法人偶。經過了在龍堡參天高地的那段野外生活，變得更加充滿野性魅力。與自由腦窟穴的骨頜族交易得來的裝備穿起來也十分適合。好搭檔是食果花鼠！","我把黑曜石削尖來代替<hex:02100103>匕首，每天依靠魔物的<hex:02100103>皮和肉過著野外生活……<hex:02100103>　　　　　——桑克瑞德","野外生存技巧","令範圍內敵人的移動速度降低50%。<hex:02100103><hex:024804F201F803><hex:024904F201F903>持續時間：<hex:0249020103><hex:0248020103>5秒","55","30","4","False","True","False","False","False","4"
"218","召喚出寵物「新型迷你阿莉塞」。<hex:02100103>已經容易和阿爾菲諾區分開了！","模仿阿莉塞製作的魔法人偶。是塔塔露為了迎接將來某一天阿莉塞的歸來而偷偷製作的。似乎是在考慮給阿莉塞製作什麼樣的衣服時，拿手邊的人偶練習而製作出來的。製作成本低是最大的優點。","請助我一臂之力！<hex:02100103>　　　　——阿莉塞","為了艾默莉","令使用特殊技點數的寵物的攻擊力增加40。<hex:02100103><hex:024804F201F803><hex:024904F201F903>持續時間：<hex:0249020103><hex:0248020103>15秒","45","25","3","False","False","False","True","False","3"
